country_code,Gold Medal,Silver Medal,Bronze Medal,Total
USA,27,35,32,94
CHN,25,23,17,65
AUS,18,12,11,41
FRA,13,17,21,51
GBR,12,17,20,49
KOR,12,8,7,27
JPN,12,6,13,31
ITA,9,10,8,27
NED,9,5,6,20
GER,8,5,5,18
CAN,6,4,9,19
IRL,4,0,3,7
NZL,3,6,1,10
ROU,3,4,1,8
HUN,3,3,2,8
SWE,3,3,2,8
UKR,3,2,3,8
BRA,2,5,7,14
ESP,2,3,6,11
CRO,2,1,3,6
CUB,2,1,2,5
AZE,2,1,0,3
BEL,2,0,3,5
HKG,2,0,2,4
PHI,2,0,2,4
SRB,2,0,0,2
ISR,1,4,1,6
KAZ,1,3,3,7
JAM,1,3,1,5
AIN,1,3,0,4
SUI,1,2,4,7
THA,1,2,2,5
GEO,1,2,1,4
DEN,1,2,0,3
GRE,1,1,5,7
POL,1,1,4,6
KEN,1,1,3,5
RSA,1,1,2,4
CHI,1,1,0,2
ECU,1,1,0,2
LCA,1,1,0,2
UGA,1,1,0,2
TPE,1,0,4,5
IRI,1,0,2,3
UZB,1,0,2,3
CZE,1,0,1,2
GUA,1,0,1,2
NOR,1,0,1,2
ALG,1,0,0,1
ARG,1,0,0,1
BRN,1,0,0,1
DMA,1,0,0,1
MAR,1,0,0,1
SLO,1,0,0,1
PRK,0,2,3,5
ARM,0,2,1,3
MEX,0,2,1,3
ETH,0,2,0,2
KGZ,0,1,3,4
TUR,0,1,3,4
LTU,0,1,2,3
KOS,0,1,1,2
TUN,0,1,1,2
COL,0,1,0,1
CYP,0,1,0,1
FIJ,0,1,0,1
MGL,0,1,0,1
IND,0,0,3,3
TJK,0,0,3,3
DOM,0,0,2,2
MAS,0,0,2,2
MDA,0,0,2,2
AUT,0,0,1,1
CPV,0,0,1,1
EGY,0,0,1,1
GRN,0,0,1,1
PER,0,0,1,1
POR,0,0,1,1
SVK,0,0,1,1
ZAM,0,0,1,1
